Username	Active?	Current Balance	HNY Earned
fabri	✅	2.61 Honey	73.64 Honey
lkngtn	✅	1.27 Honey	38.30 Honey
bjerg	✅	1.42 Honey	37.24 Honey
sourcecred	✅	1.74 Honey	36.72 Honey
rperez89	✅	1.40 Honey	34.83 Honey
willjgriff	✅	1.62 Honey	34.38 Honey
sandpiper	✅	1.83 Honey	30.49 Honey
luigy-lemon	✅	0.84 Honey	24.06 Honey
Rayne	✅	0.76 Honey	16.73 Honey
Jasper	✅	0.57 Honey	15.46 Honey
Harry	✅	0.30 Honey	13.50 Honey
sem	✅	0.38 Honey	13.07 Honey
Felix	✅	1.14 Honey	12.83 Honey
HoneyB	✅	0.43 Honey	12.30 Honey
Blazar	✅	0.91 Honey	12.28 Honey
D0SH	✅	0.86 Honey	12.07 Honey
lEscanore	✅	0.69 Honey	11.70 Honey
crisog	✅	0.37 Honey	11.04 Honey
RogueTwo	✅	0.46 Honey	10.87 Honey
solarmkd	✅	0.68 Honey	8.17 Honey
gabi	✅	0.24 Honey	8.16 Honey
sirhamude	✅	0.48 Honey	6.92 Honey
Boring877	✅	0.71 Honey	6.85 Honey
monstrosity	✅	1.28 Honey	6.77 Honey
burrrata	✅	0.04 Honey	6.33 Honey
anisoptera	✅	0.54 Honey	6.19 Honey
Kryptobi	✅	0.34 Honey	5.92 Honey
rod266	✅	0.29 Honey	5.71 Honey
Pressure	✅	0.31 Honey	5.63 Honey
omahs	✅	0.28 Honey	5.48 Honey
FreshPrince	✅	0.23 Honey	4.65 Honey
sp7290	✅	0.30 Honey	4.49 Honey
metaverde	✅	0.76 Honey	4.37 Honey
pab	✅	0.44 Honey	4.29 Honey
borisblock	✅	0.29 Honey	4.14 Honey
cryptoclip	✅	0.14 Honey	4.12 Honey
Detz	✅	0.14 Honey	4.10 Honey
s-ben	✅	0.15 Honey	3.91 Honey
Santigs	✅	0.15 Honey	3.86 Honey
berserk	✅	0.32 Honey	3.78 Honey
Fiore	✅	0.19 Honey	3.71 Honey
evalir	✅	0.02 Honey	3.49 Honey
Aitor	✅	0.12 Honey	2.84 Honey
davidking	✅	0.42 Honey	2.77 Honey
mzargham	✅	0.17 Honey	2.65 Honey
FabiMol	✅	0.44 Honey	2.61 Honey
Anathema	✅	0.21 Honey	2.60 Honey
chuygarcia92	✅	0.35 Honey	2.50 Honey
DogeKing	✅	0.12 Honey	2.23 Honey
mrtdlgc	✅	0.21 Honey	2.01 Honey
Cryptonianz	✅	0.10 Honey	2.00 Honey
rearnakedbloke	✅	0.14 Honey	1.94 Honey
satishmuppaneni	✅	0.14 Honey	1.94 Honey
Mingo-Pais-G	✅	0.23 Honey	1.89 Honey
xDaiFandom	🛑	0.00 Honey	1.82 Honey
Ferathens	✅	0.08 Honey	1.76 Honey
sand3sh	✅	0.13 Honey	1.73 Honey
linca	✅	0.16 Honey	1.68 Honey
theseeker	✅	0.09 Honey	1.62 Honey
trankil	✅	0.12 Honey	1.57 Honey
feltip	✅	0.15 Honey	1.53 Honey
Simon-Black	✅	0.08 Honey	1.52 Honey
Paddington	✅	0.07 Honey	1.51 Honey
Jacquelyn	✅	0.02 Honey	1.48 Honey
mspretty86	✅	0.11 Honey	1.35 Honey
CarsonRaged	✅	0.11 Honey	1.30 Honey
Paslar	✅	0.08 Honey	1.24 Honey
theJeweler	✅	0.11 Honey	1.23 Honey
zco	✅	0.04 Honey	1.19 Honey
